"ID";"Down";"ToGo";"Spot";"Text";"Quarter";"GameID";"PlayNum";"PlayID";"HasBall";"Type";"active";"Clock"
"1";;"0";;;"0";"0";"0";;;;"ACTIVE";"00:00"
"2";"1";"10";"V30";"1st & 10 at MARS30: MARS wins toss, defers; MARS to receive; MARS to kick, defend S goal";"1";"73";"0";"0,1,0";"V";;"ACTIVE";
"3";"1";"10";"V30";"1st & 10 at MARS30: MARS ball on MARS30.";"1";"73";"1";"0,2,1";"V";;"ACTIVE";
"4";"1";"10";"H30";"1st & 10 at OSU30: Beard, Rob kickoff 66 yards to the MARS4, Herron, Dan return 22 yards to the MARS26 (Ward, T.J.;Boyett, John).";"1";"73";"2";"0,3,2";"H";"K";"ACTIVE";
"5";"1";"10";"V26";"1st & 10 at MARS26: Pryor, Terrelle pass incomplete to Posey, DeVier (Matthews, Casey).";"1";"73";"3";"1,1,3";"V";"P";"ACTIVE";
"6";"2";"10";"V26";"2nd & 10 at MARS26: Pryor, Terrelle pass complete to Sanzenbacher, D for 4 yards to the MARS30 (Paysinger, S.).";"1";"73";"4";"1,2,4";"V";"P";"ACTIVE";
"7";"3";"6";"V30";"3rd & 6 at MARS30: Pryor, Terrelle rush for 24 yards to the MARS46, 1ST DOWN MARS, out-of-bounds (Boyett, John).";"1";"73";"5";"1,3,5";"V";"R";"ACTIVE";
"8";"1";"10";"H46";"1st & 10 at OSU46: Pryor, Terrelle pass complete to Posey, DeVier for 4 yards to the MARS42.";"1";"73";"6";"1,4,6";"V";"P";"ACTIVE";
"9";"2";"6";"H42";"2nd & 6 at OSU42: Pryor, Terrelle pass complete to Posey, DeVier for 11 yards to the MARS31, 1ST DOWN MARS (Gildon, Anthony).";"1";"73";"7";"1,5,7";"V";"P";"ACTIVE";
"10";"1";"10";"H31";"1st & 10 at OSU31: Pryor, Terrelle pass complete to Sanzenbacher, D for 7 yards to the MARS24, out-of-bounds (Matthews, Casey;Boyett, John).";"1";"73";"8";"1,6,8";"V";"P";"ACTIVE";
"11";"2";"3";"H24";"2nd & 3 at OSU24: Saine, Brandon rush for 11 yards to the MARS13, 1ST DOWN MARS (Pleasant, Eddie).";"1";"73";"9";"1,7,9";"V";"R";"ACTIVE";
"12";"1";"10";"H13";"1st & 10 at OSU13: Pryor, Terrelle pass incomplete to Sanzenbacher, D (Paysinger, S.).";"1";"73";"10";"1,8,10";"V";"P";"ACTIVE";
"13";"2";"10";"H13";"2nd & 10 at OSU13: Pryor, Terrelle pass incomplete to Posey, DeVier.";"1";"73";"11";"1,9,11";"V";"P";"ACTIVE";
"14";"3";"10";"H13";"3rd & 10 at OSU13: Pryor, Terrelle pass complete to Saine, Brandon for 13 yards to the MARS0, 1ST DOWN MARS, TOUCHDOWN, clock 11:37.";"1";"73";"12";"1,10,12";"V";"P";"ACTIVE";
"15";"1";"0";"H03";"1st & GOAL at OSU03: Pettrey, Aaron kick attempt good.";"1";"73";"14";"1,11,14";"V";"X";"ACTIVE";
"16";"1";"0";"V30";"1st & GOAL at MARS30: Barclay, Devin kickoff 63 yards to the MARS7, Barner, Kenjon return 19 yards to the MARS26 (Saine, Brandon).";"1";"73";"15";"1,12,15";"V";"K";"ACTIVE";
"17";"1";"10";"H26";"1st & 10 at OSU26: MARSGON drive start at 11:31.";"1";"73";"16";"2,1,16";"H";;"ACTIVE";
"18";"1";"10";"H26";"1st & 10 at OSU26: Masoli, J. pass complete to James, L. for 10 yards to the MARS36, 1ST DOWN MARS (Heyward, C).";"1";"73";"17";"2,2,17";"H";"P";"ACTIVE";
"19";"1";"10";"H36";"1st & 10 at OSU36: Barner, Kenjon rush for 13 yards to the MARS49, 1ST DOWN MARS (Homan, Ross).";"1";"73";"18";"2,3,18";"H";"R";"ACTIVE";
"20";"1";"10";"H49";"1st & 10 at OSU49: Masoli, J. sacked for loss of 9 yards to the MARS40 (Heyward, C).";"1";"73";"19";"2,4,19";"H";"P";"ACTIVE";
"21";"2";"19";"H40";"2nd & 19 at OSU40: James, L. rush for 3 yards to the MARS43 (Larimore, D).";"1";"73";"20";"2,5,20";"H";"R";"ACTIVE";
"22";"3";"16";"H43";"3rd & 16 at OSU43: Masoli, J. rush for no gain to the MARS43, out-of-bounds (Coleman, Kurt).";"1";"73";"21";"2,6,21";"H";"R";"ACTIVE";
"23";"4";"16";"H43";"4th & 16 at OSU43: Rice, Jackson punt 55 yards to the MARS2, downed.";"1";"73";"22";"2,7,22";"H";"U";"ACTIVE";
"24";"1";"10";"V02";"1st & 10 at MARS02: OHIO STATE drive start at 09:45.";"1";"73";"23";"3,1,23";"V";;"ACTIVE";
"25";"1";"10";"V02";"1st & 10 at MARS02: Herron, Dan rush for 6 yards to the MARS8, out-of-bounds (Paysinger, S.), PENALTY MARS face mask (Pleasant, Eddie) 15 yards to the MARS23, 1ST DOWN MARS.";"1";"73";"24";"3,2,24";"V";"R";"ACTIVE";
"26";"1";"10";"V23";"1st & 10 at MARS23: 1st and 10.";"1";"73";"25";"3,3,25";"V";;"ACTIVE";
"27";"1";"10";"V23";"1st & 10 at MARS23: Herron, Dan rush for 9 yards to the MARS32 (Ward, T.J.).";"1";"73";"26";"3,4,26";"V";"R";"ACTIVE";
"28";"2";"1";"V32";"2nd & 1 at MARS32: Herron, Dan rush for loss of 2 yards to the MARS30 (Rowe, Kenny).";"1";"73";"27";"3,5,27";"V";"R";"ACTIVE";
"29";"3";"3";"V30";"3rd & 3 at MARS30: Pryor, Terrelle rush for 5 yards to the MARS35, 1ST DOWN MARS (Jackson, Tal.).";"1";"73";"28";"3,6,28";"V";"R";"ACTIVE";
"30";"1";"10";"V35";"1st & 10 at MARS35: Herron, Dan rush for 1 yard to the MARS36 (Toeaina, Simi).";"1";"73";"29";"3,7,29";"V";"R";"ACTIVE";
"31";"2";"9";"V36";"2nd & 9 at MARS36: Pryor, Terrelle pass complete to Sanzenbacher, D for 10 yards to the MARS46, 1ST DOWN MARS (Boyett, John).";"1";"73";"30";"3,8,30";"V";"P";"ACTIVE";
"32";"1";"10";"V46";"1st & 10 at MARS46: Herron, Dan rush for 3 yards to the MARS49 (Rowe, Kenny), PENALTY MARS offside defense (Turner, Terrell) 5 yards to the MARS49, NO PLAY.";"1";"73";"31";"3,9,31";"V";"E";"ACTIVE";
"33";"1";"5";"H49";"1st & 5 at OSU49: Herron, Dan rush for no gain to the MARS49 (Ferras, Blake).";"1";"73";"32";"3,10,32";"V";"R";"ACTIVE";
"34";"2";"5";"H49";"2nd & 5 at OSU49: Pryor, Terrelle sacked for loss of 11 yards to the MARS40 (Rowe, Kenny).";"1";"73";"33";"3,11,33";"V";"P";"ACTIVE";
"35";"3";"16";"V40";"3rd & 16 at MARS40: Pryor, Terrelle pass incomplete to Sanzenbacher, D.";"1";"73";"34";"3,12,34";"V";"P";"ACTIVE";
"36";"4";"16";"V40";"4th & 16 at MARS40: Thoma, Jon punt 42 yards to the MARS18, downed, PENALTY MARS holding (Johnson, Marvin) 9 yards to the MARS9, 1st and 10, MARS ball on MARS9.";"1";"73";"35";"3,13,35";"V";"U";"ACTIVE";
"37";"1";"10";"H09";"1st & 10 at OSU09: MARSGON drive start at 04:38.";"1";"73";"36";"4,1,36";"H";;"ACTIVE";
"38";"1";"10";"H09";"1st & 10 at OSU09: James, L. rush for loss of 3 yards to the MARS6 (Gibson, T).";"1";"73";"37";"4,2,37";"H";"R";"ACTIVE";
"39";"2";"13";"H06";"2nd & 13 at OSU06: Masoli, J. rush for no gain to the MARS6 (Heyward, C).";"1";"73";"38";"4,3,38";"H";"R";"ACTIVE";
"40";"3";"13";"H06";"3rd & 13 at OSU06: Masoli, J. pass incomplete to Dickson, Ed (Russell, A).";"1";"73";"39";"4,4,39";"H";"P";"ACTIVE";
"41";"4";"13";"H06";"4th & 13 at OSU06: Rice, Jackson punt 44 yards to the 50 yardline, fair catch by Posey, DeVier.";"1";"73";"40";"4,5,40";"H";"U";"ACTIVE";
