"ID";"VideoFileName";"VideoPath";"UploadDate";"UploadTime";"PlayID";"GameID";"PlayText";"Approved";"Note";"Quarter";"active";"ApprovedTime";"AssociatedTime";"FileCreationTime";"Energy"
"15";"002";"2009/G4/Q1/";"2009-10-17 18:06:20";"0000-00-00 00:00:00";"194";"4";"2nd & 10 at VT21: Williams, R rush for 3 yards to the VT24 (Walls, L.;Jefferson,B.).";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-17 18:06:59";"0000-00-00 00:00:00	";"0"
"14";"000";"2009/G4/Q1/";"2009-10-17 17:59:23";"0000-00-00 00:00:00";"190";"4";"1st & 10 at VT30: VT Captains: #24 D.Porch, #26 C.Grimm, #47 N.Brown, #70 S.Render";"Y";;"1";"ACTIVE";"2009-10-17 18:11:37";"2009-10-17 18:11:37";"0000-00-00 00:00:00	";"0"
"13";"002";"2009/G3/Q2/";"2009-10-16 20:10:39";"0000-00-00 00:00:00";"98";"3";"2nd & 5 at UNC39: Nesbitt,J. pass complete to Hill,S. for 33 yards to the NC6, 1ST DOWN GT, out-of-bounds.";"Y";;"2";"ACTIVE";"0000-00-00 00:00:00";"2009-10-16 20:13:01";"0000-00-00 00:00:00	";"0"
"10";"000";"2009/G3/Q1/";"2009-10-16 19:48:36";"0000-00-00 00:00:00";"11";"3";"1st & 10 at GT12: Nesbitt,J. rush for 5 yards to the GT17 (Sturdivant, Q).";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-16 19:50:21";"0000-00-00 00:00:00	";"0"
"11";"003";"2009/G3/Q1/";"2009-10-16 19:48:36";"0000-00-00 00:00:00";"11";"3";"1st & 10 at GT12: Nesbitt,J. rush for 5 yards to the GT17 (Sturdivant, Q).";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-16 19:50:03";"0000-00-00 00:00:00	";"0"
"12";"002";"2009/G3/Q1/";"2009-10-16 20:02:38";"0000-00-00 00:00:00";"15";"3";"2nd & 2 at GT39: Lyons,P. rush for 2 yards to the GT41, 1ST DOWN GT (Thomas, C;Austin, M).";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-16 20:03:36";"0000-00-00 00:00:00	";"0"
"16";"003";"2009/G4/Q1/";"2009-10-17 18:07:31";"0000-00-00 00:00:00";"195";"4";"3rd & 7 at VT24: Timeout Georgia Tech, clock 14:05.";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-17 18:09:06";"0000-00-00 00:00:00	";"0"
"17";"004";"2009/G4/Q1/";"2009-10-17 18:08:27";"0000-00-00 00:00:00";"197";"4";"1st & 10 at GT36: Williams, R rush for 2 yards to the GT34 (Barnes,T.;Jefferson,B.).";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-17 18:10:37";"0000-00-00 00:00:00	";"0"
"18";"005";"2009/G4/Q1/";"2009-10-17 18:08:55";"0000-00-00 00:00:00";"197";"4";"1st & 10 at GT36: Williams, R rush for 2 yards to the GT34 (Barnes,T.;Jefferson,B.).";"Y";;"1";"ACTIVE";"2009-10-17 18:09:48";"2009-10-17 18:09:48";"0000-00-00 00:00:00	";"0"
"19";"006";"2009/G4/Q1/";"2009-10-17 18:09:34";"0000-00-00 00:00:00";"199";"4";"3rd & 7 at GT33: PENALTY VT delay of game (Taylor, T) 5 yards to the GT38.";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-17 18:10:06";"0000-00-00 00:00:00	";"0"
"20";"007";"2009/G4/Q1/";"2009-10-17 18:10:17";"0000-00-00 00:00:00";"200";"4";"3rd & 12 at GT38: Taylor, T sacked for loss of 7 yards to the GT45 (Sylvester,S.;Griffin,S.).";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-17 18:10:55";"0000-00-00 00:00:00	";"0"
"21";"008";"2009/G4/Q1/";"2009-10-17 18:14:10";"0000-00-00 00:00:00";"201";"4";"4th & 19 at GT45: Bowden, B punt 33 yards to the GT12, fair catch by Tarrant,J..";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-17 18:14:42";"0000-00-00 00:00:00	";"0"
"22";"009";"2009/G4/Q1/";"2009-10-17 18:14:53";"0000-00-00 00:00:00";"204";"4";"1st & 10 at GT13: Nesbitt,J. pass incomplete to Thomas,D., PENALTY VT offside (Worilds, J) 5 yards to the GT18, NO PLAY.";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-17 18:15:21";"0000-00-00 00:00:00	";"0"
"23";"010";"2009/G4/Q1/";"2009-10-17 18:15:37";"0000-00-00 00:00:00";"205";"4";"1st & 5 at GT18: Peeples,E. rush for loss of 9 yards to the GT9, fumble by Peeples,E. recovered by GT Team at GT9, out-of-bounds.";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-17 18:18:40";"0000-00-00 00:00:00	";"0"
"24";"011";"2009/G4/Q1/";"2009-10-17 18:15:58";"0000-00-00 00:00:00";"206";"4";"2nd & 14 at GT09: Dwyer,J. rush for loss of 1 yard to the GT8 (Rivers, B).";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-17 18:19:02";"0000-00-00 00:00:00	";"0"
"41";"023";"2009/G4/Q1/";"2009-10-17 18:33:33";"0000-00-00 00:00:00";"0";"4";"Recent Play";"N";;"1";"ACTIVE";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00	";"0"
"26";"013";"2009/G4/Q1/";"2009-10-17 18:17:01";"0000-00-00 00:00:00";"207";"4";"3rd & 15 at GT08: PENALTY GT delay of game (Nesbitt,J.) 4 yards to the GT4.";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-17 18:19:55";"0000-00-00 00:00:00	";"0"
"27";"014";"2009/G4/Q1/";"2009-10-17 18:17:37";"0000-00-00 00:00:00";"208";"4";"3rd & 19 at GT04: Nesbitt,J. rush for 5 yards to the GT9 (Grimm, C;Thompson, C).";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-17 18:20:18";"0000-00-00 00:00:00	";"0"
"28";"015";"2009/G4/Q1/";"2009-10-17 18:18:05";"0000-00-00 00:00:00";"209";"4";"4th & 14 at GT09: Anderson,C. punt 33 yards to the GT42, fair catch by Hosley, J.";"Y";;"1";"ACTIVE";"0000-00-00 00:00:00";"2009-10-17 18:21:54";"0000-00-00 00:00:00	";"0"
