,gameID,teamID,total_rush,total_pass,total_punt,total_ko,total_pat,total plays,,,,,,,
0,CU1028,GT,40,57,8,7,2,114,,,,gt rush,gt pass,total O play,total plays
1,CU1028,CU,37,27,7,5,4,80,,,,12478,5732,18210,21660
2,GT0902,UCF,26,31,9,4,2,72,,,,0.576084949,0.264635272,,
3,GT0902,GT,44,41,9,4,3,101,,,,,,,
4,GT0909,FS,34,40,5,5,3,87,,,,,,,
5,GT0909,GT,34,37,7,5,1,84,,,,,,,
6,GT0916,NA,52,40,4,4,1,101,,,,,,,
7,GT0916,GT,40,19,4,8,5,76,,,,,,,
8,GT1014,WF,39,43,3,4,2,91,,,,,,,
9,GT1014,GT,47,24,3,9,7,90,,,,,,,
10,GT1021,DU,46,43,6,3,1,99,,,,,,,
11,GT1021,GT,35,21,4,8,6,74,,,,,,,
12,GT1109,VA,29,30,6,1,0,66,,,,,,,
13,GT1109,GT,57,37,0,6,5,105,,,,,,,
14,GT1125,GT,34,35,6,6,3,84,,,,,,,
15,GT1125,UGA,18,63,4,4,0,89,,,,,,,
16,MD1118,GT,53,30,2,6,5,96,,,,,,,
17,MD1118,MD,22,46,5,3,2,78,,,,,,,
18,NC0930,GT,40,30,4,7,6,87,,,,,,,
19,NC0930,NC,37,31,5,5,4,82,,,,,,,
20,ST0921,GT,42,43,3,6,2,96,,,,,,,
21,ST0921,ST,31,36,4,5,4,80,,,,,,,
22,DU1006,GT,48,40,1,8,4,101,,,,,,,
23,DU1006,DU,37,29,9,3,1,79,,,,,,,
24,FS1201,GT,29,39,7,4,2,81,,,,,,,
25,FS1201,FS,46,25,7,5,4,87,,,,,,,
26,GT0826,SYRACUSE,26,32,7,2,1,68,,,,,,,
27,GT0826,GT,46,26,5,4,1,82,,,,,,,
28,GT0901,CIT,34,26,10,2,1,73,,,,,,,
29,GT0901,GT,36,34,3,6,5,84,,,,,,,
30,GT0908,GT,54,19,2,11,10,96,,,,,,,
31,GT0908,NAVY,40,26,6,2,1,75,,,,,,,
32,GT0929,CU,52,32,4,6,5,99,,,,,,,
33,GT0929,GT,45,27,2,9,2,85,,,,,,,
34,GT1011,MD,34,41,7,3,2,87,,,,,,,
35,GT1011,GT,39,45,5,4,2,95,,,,,,,
36,GT1020,ST,26,32,4,4,2,68,,,,,,,
37,GT1020,GT,43,39,2,5,3,92,,,,,,,
38,GT1101,NC,17,37,6,4,3,67,,,,,,,
39,GT1101,GT,52,27,2,6,2,89,,,,,,,
40,GT1124,GA,52,25,2,9,1,89,,,,,,,
41,GT1124,GT,28,35,5,4,2,74,,,,,,,
42,VA1110,GT,33,55,4,8,2,102,,,,,,,
43,VA1110,VA,25,46,4,7,3,85,,,,,,,
44,WF111701,GT,47,27,5,8,5,92,,,,,,,
45,WF111701,WF,43,39,7,6,4,99,,,,,,,
46,CU0914,GT,32,31,9,4,1,77,,,,,,,
47,CU0914,CU,41,31,5,5,3,85,,,,,,,
48,GT0831,VU,31,28,8,2,0,69,,,,,,,
49,GT0831,GT,51,24,5,8,6,94,,,,,,,
50,GT0907,GT,43,21,4,6,4,78,,,,,,,
51,GT0907,UC,34,32,7,3,2,78,,,,,,,
52,GT0921,BYU,27,57,4,5,1,94,,,,,,,
53,GT0921,GT,50,26,8,5,4,93,,,,,,,
54,GT1005,WF,60,32,4,6,1,103,,,,,,,
55,GT1005,GT,21,30,5,4,3,63,,,,,,,
56,GT1026,VA,20,59,5,3,1,88,,,,,,,
57,GT1026,GT,44,42,6,5,2,99,,,,,,,
58,GT1109,FS,33,24,10,4,3,74,,,,,,,
59,GT1109,GT,42,45,7,4,1,99,,,,,,,
60,GT1116,DU,36,34,10,1,0,81,,,,,,,
61,GT1116,GT,42,30,7,5,2,86,,,,,,,
62,GT1130,GT,22,36,6,2,1,67,,,,,,,
63,GT1130,GA,57,25,3,10,6,101,,,,,,,
64,GT2002,GT,31,27,5,4,3,70,,,,,,,
65,GT2002,FRESNO,55,31,7,7,3,103,,,,,,,
66,MD1017,GT,31,53,4,3,1,92,,,,,,,
67,MD1017,MD,43,21,4,7,4,79,,,,,,,
68,NC0928,GT,49,33,2,4,3,91,,,,,,,
69,NC0928,NC,27,25,4,4,1,61,,,,,,,
70,ST1102,GT,42,37,6,5,1,91,,,,,,,
71,ST1102,ST,22,41,5,4,2,74,,,,,,,
72,DU1108,GT,30,47,5,4,2,88,,,,,,,
73,DU1108,DU,48,15,4,8,5,80,,,,,,,
74,FS0913,GT,39,25,5,4,1,74,,,,,,,
75,FS0913,FS,32,30,5,3,2,72,,,,,,,
76,GT0103,GT,54,13,5,9,7,88,,,,,,,
77,GT0103,TUL,26,27,7,3,1,64,,,,,,,
78,GT0828,GT,23,24,3,4,1,55,,,,,,,
79,GT0828,BYU,32,47,3,5,3,90,,,,,,,
80,GT0906,AU,38,33,8,2,0,81,,,,,,,
81,GT0906,GT,39,21,7,4,2,73,,,,,,,
82,GT0920,CU,30,39,6,7,5,87,,,,,,,
83,GT0920,GT,33,42,7,3,0,85,,,,,,,
84,GT0927,GT,39,22,7,4,3,75,,,,,,,
85,GT0927,VU,46,27,9,3,2,87,,,,,,,
86,GT1004,ST,19,47,5,5,1,77,,,,,,,
87,GT1004,GT,41,38,4,7,3,93,,,,,,,
88,GT1023,MD,35,33,5,2,0,75,,,,,,,
89,GT1023,GT,41,28,9,2,1,81,,,,,,,
90,GT1115,NC,31,40,3,5,3,82,,,,,,,
91,GT1115,GT,50,27,2,8,5,92,,,,,,,
92,GT1129,GA,38,22,5,7,4,76,,,,,,,
93,GT1129,GT,41,38,3,4,2,88,,,,,,,
94,VA1122,GT,32,30,5,4,2,73,,,,,,,
95,VA1122,VA,38,37,4,8,2,89,,,,,,,
96,WF1011,GT,47,24,6,5,3,85,,,,,,,
97,WF1011,WF,32,28,7,2,1,70,,,,,,,
98,CU0911,GT,48,36,10,4,4,102,,,,,,,
99,CU0911,CU,31,43,7,5,3,89,,,,,,,
100,GT0904,SAM,16,44,7,2,1,70,,,,,,,
101,GT0904,GT,45,22,4,5,4,80,,,,,,,
102,GT1002,UM,38,26,6,6,3,79,,,,,,,
103,GT1002,GT,37,26,8,2,0,73,,,,,,,
104,GT1016,DU,40,23,9,2,1,75,,,,,,,
105,GT1016,GT,38,21,5,5,3,72,,,,,,,
106,GT1028,VT,33,31,6,6,3,79,,,,,,,
107,GT1028,GT,40,29,6,6,2,83,,,,,,,
108,GT1113,UCONN,24,49,8,2,1,84,,,,,,,
109,GT1113,GT,37,38,5,7,3,90,,,,,,,
110,GT1120,VA,41,28,7,7,3,86,,,,,,,
111,GT1120,GT,34,33,6,3,1,77,,,,,,,
112,GT1127,GT,35,42,6,4,1,88,,,,,,,
113,GT1127,UGA,33,28,7,5,2,75,,,,,,,
114,GT1221,SYRACUSE,31,39,7,4,1,82,,,,,,,
115,GT1221,GT,53,20,2,8,7,90,,,,,,,
116,MD1009,GT,43,22,8,5,2,80,,,,,,,
117,MD1009,MD,38,23,9,2,1,73,,,,,,,
118,NC0918,GT,43,29,5,4,1,82,,,,,,,
119,NC0918,NC,47,23,5,5,4,84,,,,,,,
120,ST1106,GT,33,28,8,5,3,77,,,,,,,
121,ST1106,ST,33,38,7,3,2,83,,,,,,,
122,DU1015,GT,49,27,6,6,5,93,,,,,,,
123,DU1015,DU,42,30,9,3,1,85,,,,,,,
124,GT0903,GT,39,36,5,6,2,88,,,,,,,
125,GT0903,AU,23,44,4,3,2,76,,,,,,,
126,GT0910,NC,26,39,8,4,3,80,,,,,,,
127,GT0910,GT,33,48,7,6,3,97,,,,,,,
128,GT0917,UCONN,33,25,9,4,1,72,,,,,,,
129,GT0917,GT,54,30,7,5,4,100,,,,,,,
130,GT1006,ST,31,25,7,4,2,69,,,,,,,
131,GT1006,GT,38,53,7,3,2,103,,,,,,,
132,GT1029,CU,35,30,3,4,0,72,,,,,,,
133,GT1029,GT,39,23,7,2,1,72,,,,,,,
134,GT1105,WF,35,33,5,4,2,79,,,,,,,
135,GT1105,GT,42,27,6,7,3,85,,,,,,,
136,GT1126,UGA,30,34,10,3,2,79,,,,,,,
137,GT1126,GT,37,35,9,2,1,84,,,,,,,
138,GT1229,GT,37,38,8,3,1,87,,,,,,,
139,GT1229,UU,35,42,5,7,4,93,,,,,,,
140,UM1119,GT,44,30,9,3,2,88,,,,,,,
141,UM1119,UM,30,31,10,3,1,75,,,,,,,
142,VA1112,GT,27,39,5,4,2,77,,,,,,,
143,VA1112,VA,45,29,3,6,3,86,,,,,,,
144,VT0924,GT,25,32,11,2,1,71,,,,,,,
145,VT0924,VT,44,22,6,10,6,88,,,,,,,
146,ACC1202,WF,43,25,7,4,0,79,,,,,,,
147,ACC1202,GT,38,29,5,3,0,75,,,,,,,
148,CU1021,GT,37,25,7,2,1,72,,,,,,,
149,CU1021,CU,38,16,5,6,4,69,,,,,,,
150,GT0101,WVU,45,15,5,7,5,77,,,,,,,
151,GT0101,GT,32,29,4,5,5,75,,,,,,,
152,GT0902,UND,40,38,5,3,2,88,,,,,,,
153,GT0902,GT,28,24,7,3,1,63,,,,,,,
